NVMe_from_ceph,NVMe_from_transfer,NVMe_total_util,CPU,Goodput,Memory_used,NIC_speed,Packet_losses,network_throughput,CPU_count,Memory_total,Storage_count,num_workers
0.0,2269617356.8,4.99199999999837,6.585999999986961,3572448460.7999997,6186409984.0,100000000000.0,0.4,2272943409.8,16.0,34359740000.0,8.0,50.0
134217728.0,3265166540.8000007,6.416799999997601,9.55600000000559,3166942003.2,6209241088.0,100000000000.0,0.4,3269757551.0,16.0,34359740000.0,8.0,50.0
134217728.0,3308502220.8,6.278399999999965,9.60400000005029,3366489292.8,6226653184.0,100000000000.0,0.4,3314079600.2,16.0,34359740000.0,8.0,50.0
134217728.0,3834898022.3999996,7.5624000000010705,11.626000000024215,3597419315.2,6229356544.0,100000000000.0,0.6,3840405303.6,16.0,34359740000.0,8.0,50.0
134217728.0,3882205183.9999995,7.509599999999046,11.541999999945983,4085238169.6000004,6235226112.0,100000000000.0,0.4,3888457600.0,16.0,34359740000.0,8.0,50.0
19922943.999999996,3240506163.2000003,7.054400000000896,9.709999999962747,3534724300.7999997,6230065152.0,100000000000.0,0.6,3245402857.4,16.0,34359740000.0,8.0,50.0
19922944.0,3919720448.0,7.588000000000466,11.185999999847263,3962005094.4,6229385216.0,100000000000.0,0.6,3925509773.4,16.0,34359740000.0,8.0,50.0
19922944.0,3511569612.8,7.214400000002934,10.298000000137835,3499449548.7999997,6229286912.0,100000000000.0,0.4,3516204326.4,16.0,34359740000.0,8.0,50.0
19922944.0,3339859558.3999996,7.044799999998941,10.147999999858436,3353302630.3999996,6212222976.0,100000000000.0,0.4,3344804443.6,16.0,34359740000.0,8.0,50.0
