Time,NVMe_read,NVMe_written,read_mean,written_mean
00:00:00,1769425578.6666675,100590234.78434771,1687.4557291666674,95.930323395107
00:01:00,1775761271.4666672,20184268.8,1693.4979166666672,19.24921875
00:02:00,1763687082.6666663,69960874.66666667,1681.9830729166663,66.71988932291667
00:03:00,1591050305.5185285,159312890.79229122,1517.3438124833378,151.9326122210419
00:04:00,1806007773.8666673,208176308.2607548,1722.3432291666672,198.5323984725521
00:05:00,1811135692.8000002,8645256.533333333,1727.2335937500002,8.244759114583333
00:06:00,1797104435.1999996,151798835.81094593,1713.8523437499996,144.76665097326844
00:07:00,1397171136.4337971,39609512.21144196,1332.446228441045,37.77457448143192
00:08:00,1870555818.6666665,69990144.93523745,1783.9010416666665,66.74780362628694
00:09:00,1780728081.0666661,70190936.46243083,1698.2346354166662,66.93929334872325
00:10:00,1783596373.3333325,140109994.6666667,1700.9700520833326,133.61930338541669
00:11:00,1763121415.0395238,70339049.25053532,1681.443610229038,67.08054471066983
00:12:00,1779325610.666666,35934548.99638039,1696.897135416666,34.269856449489964
00:13:00,1816372292.2666662,6971392.0,1732.2276041666662,6.6484375
00:14:00,1840912247.466666,215776665.6,1755.630729166666,205.7806640625
00:15:00,1975458019.7364068,187847297.6445396,1883.943576561362,179.14514316991767
00:16:00,1788686882.133333,70011162.27167055,1705.824739583333,66.76784732024245
00:17:00,1842990284.7999995,162670592.0,1757.6124999999995,155.134765625
00:18:00,1804512592.751677,242859613.99050358,1720.9173133389254,231.60897635507925
00:19:00,1798386161.700993,168527268.8629118,1715.0746933946543,160.7201279286497
00:20:00,1860532360.5333338,30223120.058662757,1774.3419270833338,28.823013361609227
00:21:00,1822636168.5333335,140595165.86666667,1738.2013020833335,134.08199869791667
00:22:00,1840761514.6666665,163736883.2,1755.4869791666665,156.15166015625
00:23:00,1858291519.1788926,138740879.91498405,1772.2048942364622,132.31361381052403
00:24:00,1838160008.5333338,257200184.52103195,1753.0059895833338,245.2852101526565
00:25:00,1855194180.266667,64390826.66666667,1769.2510416666669,61.40787760416667
00:26:00,1809134127.6255245,70021905.06666666,1725.3247524504895,66.77809244791666
00:27:00,1842022809.5999997,21189681.654798236,1756.6898437499997,20.208055167005764
00:28:00,1870718839.466667,136363868.22529227,1784.056510416667,130.04671881226756
00:29:00,1892928716.8,114396364.8,1805.2375,109.096875
00:30:00,1838624736.0490704,20594885.140990604,1753.449188279219,19.64081300829945
00:31:00,1838197964.7999995,93847026.54628757,1753.0421874999995,89.49949888828999
00:32:00,1911111953.066667,151769702.39999998,1822.578385416667,144.73886718749998
00:33:00,1897807598.9333334,88726528.0,1809.8903645833334,84.6162109375
00:34:00,1900854476.8000002,232479573.33333334,1812.7960937500002,221.70979817708334
00:35:00,2481003599.9483824,69268732.33489476,2366.069412182219,66.05981095780827
00:36:00,1738199486.434237,69679340.01992694,1657.6762070028658,66.45139696114248
00:37:00,1836243899.733334,7383893.333333334,1751.178645833334,7.041829427083334
00:38:00,1830398831.8346536,270817619.1191533,1745.6043547007118,258.2718077842267
00:39:00,1853595374.9333336,173093270.98831034,1767.7263020833336,165.07460688429865
00:40:00,1884023739.7333343,16208452.266666666,1796.7450520833343,15.457584635416666
00:41:00,1855716846.9125786,140194859.42918113,1769.749495422915,133.70023672979463
00:42:00,1802288650.650919,58102132.76231263,1718.7963968762579,55.41051174384368
00:43:00,1823769941.3333335,92546295.31364577,1739.2825520833335,88.25902491917206
00:44:00,1905174937.6000009,13109841.743883742,1816.9164062500008,12.502519363292448
00:45:00,1861517932.0896523,140475670.5252593,1775.2818413635753,133.96803905988625
00:46:00,1840907715.742764,31396969.865554012,1755.6264073779716,29.942483773759854
00:47:00,1779501465.5999992,4204851.2,1697.0648437499992,4.01005859375
00:48:00,1839907362.1333342,229719790.93333334,1754.6723958333341,219.07786458333334
00:49:00,1748984576.2234004,140630064.23982868,1667.9616701349262,134.11528038008564
00:50:00,1802287240.5333328,139834709.33333334,1718.7950520833328,133.35677083333334
00:51:00,1866920209.0666668,154014515.2,1780.4338541666668,146.8796875
00:52:00,1793202858.6666665,129355374.73233405,1710.1315104166665,123.36289857133298
00:53:00,1859787980.7999995,189667706.69500533,1773.6320312499995,180.88122052670033
00:54:00,1832539750.4000003,80431339.77734819,1747.6460937500003,76.70530297980136
00:55:00,1854027557.8820214,61141825.84906919,1768.138463861486,58.30938897044105
00:56:00,1840624708.2666667,63176849.52936497,1755.3565104166667,60.25013878761766
00:57:00,1874849792.0000005,193983010.13333333,1787.9960937500005,184.99661458333333
00:58:00,1969075867.4401553,70110958.93333334,1877.8570818330338,66.86302083333334
00:59:00,2234298006.0935216,4163174.4000000004,2130.7926236090866,3.9703125000000004
01:00:00,2048809642.6666675,70095940.26666667,1953.8971354166674,66.84869791666667
01:01:00,2001453602.1333337,332608307.2,1908.7348958333337,317.2
01:02:00,2018969830.2127368,322745958.4,1925.4396726729744,307.79453125
01:03:00,2877374648.3321266,123693154.44451833,2744.078300792815,117.96298450900872
01:04:00,1967341246.787654,50883060.5738576,1876.2028186680354,48.525868009431456
01:05:00,2009645875.2000003,132600081.06666669,1916.5476562500003,126.45729166666669
01:06:00,2009778312.5333335,88502711.39156428,1916.6739583333335,84.4027627864497
01:07:00,2001550813.8666666,120686180.65887353,1908.8276041666666,115.0953108395324
01:08:00,2033461930.666666,164291925.33333334,1939.260416666666,156.68098958333334
01:09:00,1964472729.5999994,153300445.86666664,1873.4671874999995,146.19869791666665
01:10:00,2098066393.5392904,4038462.6525412365,2000.872033633509,3.851378109494435
