time,predict_throughput
2021-05-28 09:55:05.818924,4106375610.8283997
2021-05-28 09:57:05.800111,3771886277.1987915
2021-05-28 09:59:05.804930,4266604578.4950256
2021-05-28 10:01:05.844159,4003000986.5760803
