Time,NVMe_from_ceph,NVMe_from_transfer,NVMe_total_util,CPU,Goodput,Memory_used,NIC_speed,Packet_losses,network_throughput,num_workers
2021-05-28 10:05:35.795000064,0.0,0.0,0.0,0.2580000000074507,0.0,6179057664.0,100000000000.0,0.4,841.4,50
2021-05-28 10:05:50.795000064,134008012.80000001,3107809689.6,6.610400000000663,8.929999999888242,3266849894.4000006,6205947904.0,100000000000.0,0.4,3112719290.0,50
2021-05-28 10:06:05.795000064,134217728.0,3139547955.2,6.315999999997438,9.100000000139701,3344130047.9999995,6225027072.0,100000000000.0,0.8,3144697555.8,50
2021-05-28 10:06:20.795000064,134217728.0,3336733491.2,7.112799999999698,9.675999999931083,3866754559.9999995,6209196032.0,100000000000.0,0.6,3341789694.4,50
2021-05-28 10:06:35.795000064,134217728.0,3549028351.9999995,7.407200000000011,10.618000000016764,3679991398.4,6212403200.0,100000000000.0,0.4,3556351966.4,50
2021-05-28 10:06:50.795000064,19922944.0,3799724851.2,7.431999999997787,10.926000000117345,3998095155.2000003,6188146688.0,100000000000.0,0.4,3805327872.0,50
2021-05-28 10:07:05.795000064,19922944.0,3435732992.0,7.1432000000000695,10.15800000000745,3448481382.4000006,6205743104.0,100000000000.0,0.4,3440142148.4,50
2021-05-28 10:07:20.795000064,19922944.0,3589121638.4,7.211199999999372,10.439999999897553,3328055500.7999997,6187945984.0,100000000000.0,0.4,3594483414.8,50
2021-05-28 10:07:35.795000064,19922943.999999996,3732217036.7999997,7.481600000002072,10.918000000109895,3593417523.2000003,6213259264.0,100000000000.0,0.4,3738852184.8,50
2021-05-28 10:07:50.795000064,69219123.19999999,3869774643.2,7.549599999999919,11.073999999975786,3798347571.200001,6207815680.0,100000000000.0,0.4,3875422870.0,50
2021-05-28 10:08:05.795000064,69206016.0,3449770803.2,7.184799999996903,10.2019999999553,3637504409.6,6231715840.0,100000000000.0,0.4,3455265253.8,50
2021-05-28 10:08:20.795000064,69219123.19999999,3812400332.7999997,7.369599999999627,11.097999999998137,3739336499.2000003,6189940736.0,100000000000.0,0.4,3817833596.4,50
2021-05-28 10:08:35.795000064,69176158.81291358,3489001875.275717,6.889111690393521,10.220172448324666,3509752627.2,6190637056.0,100000000000.0,1.20312813314618,3494225458.59234,50
2021-05-28 10:08:50.795000064,158138368.00000003,3926075801.6,7.032000000000699,11.583999999938534,3491336908.7999997,6190284800.0,100000000000.0,0.6,3931881953.2,50
2021-05-28 10:09:05.795000064,158125260.80000004,3750191923.2000003,7.536799999997311,11.182000000029802,3839785369.6,6214094848.0,100000000000.0,0.4,3755731161.2,50
2021-05-28 10:09:20.795000064,158348083.20000002,3791753216.0,7.674400000000606,10.935999999940396,3581822976.0,6190526464.0,100000000000.0,0.6,3795669525.6,50
2021-05-28 10:09:35.795000064,158334976.0,1727811584.0,7.296800000000804,9.081999999890105,1462711091.2,6209085440.0,100000000000.0,162.8,8772542745.0,50
2021-05-28 10:09:50.795000064,207631155.20000002,1917261414.4,7.450400000001537,9.40199999990873,1945498112.0,6211678208.0,100000000000.0,345.6,8723701062.6,50
2021-05-28 10:10:05.795000064,207618048.0,1238327296.0,6.7760000000009315,7.626000000024214,897195212.8,6227935232.0,100000000000.0,146.4,8308013472.0,50
2021-05-28 10:10:20.795000064,207631155.20000002,1810671206.3999999,7.379200000000129,9.268000000016764,1774376550.3999999,6216429568.0,100000000000.0,349.2,8559893819.4,50
2021-05-28 10:10:35.795000064,207618047.99999997,1987071180.8,7.49440000000177,9.797999999951571,1985044480.0,6219649024.0,100000000000.0,205.0,8965462708.6,50
2021-05-28 10:10:50.795000064,8401715.2,1874345164.8000002,7.304799999998068,9.268000000016764,1715995955.1999998,6216601600.0,100000000000.0,380.0,8685154736.2,50
2021-05-28 10:11:05.795000064,8178892.8,2940301312.0,7.204000000002272,9.622000000067056,3572409139.2000003,6231531520.0,100000000000.0,32.8,4712482015.2,50
2021-05-28 10:11:20.795000064,8388608.0,3571205734.4,7.401600000000326,10.557999999867752,3639999488.0000005,6213345280.0,100000000000.0,0.6,3575747448.4,50
2021-05-28 10:11:35.795000064,8388608.0,3590168576.0,7.197600000002422,10.623999999929218,3403207475.2,6215819264.0,100000000000.0,0.4,3595602411.0,50
2021-05-28 10:11:50.795000064,150994944.0,3603962265.6,7.481599999999162,10.649999999953431,3669236121.6,6211739648.0,100000000000.0,0.4,3608511505.0,50
2021-05-28 10:12:05.795000064,150994944.0,3688670003.1999993,7.5784000000014204,10.755999999865889,3684533043.2,6233280512.0,100000000000.0,0.4,3693675598.8,50
2021-05-28 10:12:20.795000064,150994944.0,3494608896.0,7.468799999999464,10.41800000006333,3524445696.0,6211538944.0,100000000000.0,0.4,3499304126.6,50
2021-05-28 10:12:35.795000064,150994944.0,3756018892.8000007,7.401600000000326,10.949999999906865,3799929651.2,6193467392.0,100000000000.0,0.8,3759043160.4,50
2021-05-28 10:12:50.795000064,38797312.00000001,3957585510.3999996,7.116800000001968,11.267999999830499,3806261760.0000005,6191259648.0,100000000000.0,1.6,3962719312.4,50
2021-05-28 10:13:05.795000064,38797312.0,3620137369.6000004,7.42400000000198,10.471999999973924,3592574566.3999996,6207295488.0,100000000000.0,0.4,3625322606.4,50
2021-05-28 10:13:20.795000064,38797312.0,3704863948.7999997,7.416000000001805,10.760000000149011,3650125107.2000003,6210260992.0,100000000000.0,0.6,3710792040.2,50
2021-05-28 10:13:35.795000064,38797312.00000001,3847682457.5999994,7.5368000000002215,11.108000000054012,3756960972.7999997,6211780608.0,100000000000.0,0.8,3853176199.0,50
